
Leonidas  	1	M	light bright green  	Healthy
Chastity  	6	F	dirty yellow        	Healthy
Britte    	6	F	dirty yellow        	Healthy
Gabriellia	6	F	olive yellow        	Healthy
Yehudi    	6	M	dirty yellow        	Healthy
Jorry     	5	F	light green         	Healthy
Raffaello 	5	M	olive yellow        	Healthy
Josselyn  	5	F	dirty yellow        	Healthy
Lorenzo   	5	M	light green         	Radioactive
Adelice   	5	F	olive yellow        	Radioactive
Arvie     	5	M	dirty yellow        	Healthy
Hy        	5	M	light green         	Healthy
Bryanty   	5	M	olive yellow        	Radioactive
Twyla     	5	F	dirty yellow        	Healthy
Myron     	5	M	dirty yellow        	Healthy
Noll      	5	M	olive yellow        	Healthy
Juliet    	5	F	dirty yellow        	Healthy
Isadora   	5	F	dirty yellow        	Healthy
Jackelyn  	5	F	dirty yellow        	Healthy
Kin       	5	M	olive yellow        	Radioactive
Sheppard  	4	M	light green         	Radioactive
Shaine    	4	F	olive yellow        	Radioactive
Isidro    	4	M	dirty yellow        	Healthy
Kristien  	4	F	light green         	Radioactive
Johna     	4	F	olive yellow        	Healthy
Tabbie    	4	F	dirty yellow        	Healthy
Trip      	4	M	light green         	Radioactive
Dun       	4	M	olive yellow        	Healthy
Dannie    	4	M	dirty yellow        	Healthy
Myra      	4	F	dirty yellow        	Healthy
Kylynn    	4	F	olive yellow        	Radioactive
Anatola   	4	F	dirty yellow        	Healthy
Herb      	4	M	dirty yellow        	Healthy
Jandy     	4	F	dirty yellow        	Healthy
Eal       	4	M	olive yellow        	Radioactive
Lyndsey   	4	F	dirty yellow        	Healthy
Curr      	4	M	light green         	Radioactive
Conway    	4	M	olive yellow        	Healthy
Antin     	4	M	light green         	Healthy
Shepperd  	4	M	olive yellow        	Healthy
Rollo     	4	M	dirty yellow        	Healthy
Lindsey   	4	F	dirty yellow        	Healthy
Wernher   	4	M	olive yellow        	Healthy
Ignace    	3	M	light green         	Radioactive
Delia     	3	F	olive yellow        	Healthy
Benedicto 	3	M	light green         	Radioactive
Winslow   	3	M	olive yellow        	Radioactive
Pepe      	3	M	dirty yellow        	Healthy
Kara      	3	F	light green         	Healthy
Diandra   	3	F	olive yellow        	Healthy
Karlik    	3	M	dirty yellow        	Healthy
Ingamar   	3	M	dirty yellow        	Healthy
Tommie    	3	F	dirty yellow        	Healthy
Hally     	3	F	dirty yellow        	Healthy
Lory      	3	F	olive yellow        	Radioactive
Cornelius 	3	M	dirty yellow        	Healthy
Ellissa   	3	F	light green         	Radioactive
Ebenezer  	3	M	light green         	Radioactive
Darla     	3	F	olive yellow        	Radioactive
Ben       	3	M	dirty yellow        	Healthy
Celle     	3	F	dirty yellow        	Healthy
Heidi     	3	F	olive yellow        	Healthy
Reynold   	3	M	light green         	Radioactive
Herminia  	3	F	dirty yellow        	Healthy
Sutton    	3	M	olive yellow        	Radioactive
Mario     	3	M	dirty yellow        	Healthy
Humfrid   	2	M	light green         	Radioactive
Marijo    	2	F	olive yellow        	Healthy
Dyan      	2	F	dirty yellow        	Healthy
Maggie    	2	F	light green         	Radioactive
Terrence  	2	M	olive yellow        	Radioactive
Brien     	2	M	dirty yellow        	Healthy
Davon     	2	M	light green         	Radioactive
Giraud    	2	M	olive yellow        	Healthy
Lulita    	2	F	dirty yellow        	Healthy
Dacey     	2	F	dirty yellow        	Healthy
Brigida   	2	F	olive yellow        	Radioactive
Isabella  	2	F	olive yellow        	Radioactive
Ole       	2	M	dirty yellow        	Healthy
Eolanda   	2	F	light green         	Radioactive
Griffy    	2	M	olive yellow        	Healthy
Madelin   	2	F	dirty yellow        	Healthy
Mag       	2	F	dirty yellow        	Healthy
Leif      	2	M	olive yellow        	Healthy
Lucien    	2	M	light green         	Healthy
Myrah     	2	F	dirty yellow        	Healthy
Kikelia   	2	F	olive yellow        	Radioactive
Karoly    	2	M	dirty yellow        	Healthy
Candace   	2	F	dirty yellow        	Healthy
Dino      	2	M	olive yellow        	Healthy
Herrick   	2	M	dirty yellow        	Healthy
Devinne   	2	F	olive yellow        	Radioactive
Pembroke  	2	M	dirty yellow        	Healthy
Justine   	1	F	light green         	Radioactive
Darb      	1	M	olive yellow        	Radioactive
Alvis     	1	M	dirty yellow        	Healthy
Katee     	1	F	olive yellow        	Healthy
Saba      	1	F	dirty yellow        	Healthy
Ardelia   	1	F	dirty yellow        	Healthy
Yelena    	1	F	olive yellow        	Healthy
Jennee    	1	F	dirty yellow        	Healthy
Leia      	1	F	dirty yellow        	Healthy
Gayla     	1	F	olive yellow        	Healthy
Marcille  	1	F	light green         	Healthy
Clarke    	1	M	dirty yellow        	Healthy
Holt      	1	M	olive yellow        	Radioactive
Jenelle   	1	F	olive yellow        	Healthy
Ralf      	1	M	dirty yellow        	Healthy
Cobby     	1	M	dirty yellow        	Healthy
Maximilianus	1	M	olive yellow        	Radioactive
Clim      	1	M	dirty yellow        	Healthy
Keary     	1	M	dirty yellow        	Healthy
Ned       	1	M	dirty yellow        	Healthy
Dukey     	1	M	light green         	Healthy
Morna     	1	F	dirty yellow        	Healthy
Madelene  	1	F	olive yellow        	Radioactive
Rik       	1	M	olive yellow        	Healthy
Byron     	1	M	dirty yellow        	Healthy
Jase      	0	M	dirty yellow        	Healthy
Dorthy    	0	F	olive yellow        	Healthy
Bartholomeus	0	M	dirty yellow        	Healthy
Jehu      	0	M	olive yellow        	Healthy
Ynes      	0	F	light green         	Radioactive
Phedra    	0	F	dirty yellow        	Healthy
Nelly     	0	F	light green         	Healthy
Sauveur   	0	M	olive yellow        	Healthy
Michaella 	0	F	olive yellow        	Healthy
Karlens   	0	M	dirty yellow        	Healthy
Leroi     	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Maribel   	10	F	light green         	Radioactive
Darda     	10	F	olive yellow        	Radioactive
Mallory   	10	F	dirty yellow        	Healthy
Lucius    	9	M	light green         	Radioactive
Guglielmo 	9	M	olive yellow        	Healthy
Mirabella 	9	F	dirty yellow        	Healthy
Tyler     	9	M	light green         	Healthy
Dinah     	9	F	olive yellow        	Radioactive
Rebeca    	9	F	dirty yellow        	Healthy
Melvyn    	8	M	light green         	Healthy
Filberto  	8	M	olive yellow        	Healthy
Hedi      	8	F	dirty yellow        	Healthy
Teodorico 	8	M	light green         	Radioactive
Ewan      	8	M	olive yellow        	Radioactive
Augusta   	8	F	dirty yellow        	Healthy
Arther    	8	M	light green         	Radioactive
Christin  	8	F	olive yellow        	Radioactive
Ferdie    	8	M	dirty yellow        	Healthy
Judah     	7	M	light green         	Radioactive
Garrick   	7	M	olive yellow        	Radioactive
Jeane     	7	F	dirty yellow        	Healthy
Bobinette 	7	F	light green         	Radioactive
Cassy     	7	F	olive yellow        	Healthy
Mile      	7	M	dirty yellow        	Healthy
Nerita    	7	F	light green         	Radioactive
Ardine    	7	F	olive yellow        	Healthy
Chastity  	7	F	dirty yellow        	Healthy
Britte    	7	F	dirty yellow        	Healthy
Gabriellia	7	F	olive yellow        	Healthy
Yehudi    	7	M	dirty yellow        	Healthy
Jorry     	6	F	light green         	Healthy
Raffaello 	6	M	olive yellow        	Healthy
Josselyn  	6	F	dirty yellow        	Healthy
Lorenzo   	6	M	light green         	Radioactive
Adelice   	6	F	olive yellow        	Radioactive
Arvie     	6	M	dirty yellow        	Healthy
Hy        	6	M	light green         	Healthy
Bryanty   	6	M	olive yellow        	Radioactive
Twyla     	6	F	dirty yellow        	Healthy
Myron     	6	M	dirty yellow        	Healthy
Noll      	6	M	olive yellow        	Healthy
Juliet    	6	F	dirty yellow        	Healthy
Isadora   	6	F	dirty yellow        	Healthy
Jackelyn  	6	F	dirty yellow        	Healthy
Kin       	6	M	olive yellow        	Radioactive
Sheppard  	5	M	light green         	Radioactive
Shaine    	5	F	olive yellow        	Radioactive
Isidro    	5	M	dirty yellow        	Healthy
Kristien  	5	F	light green         	Radioactive
Johna     	5	F	olive yellow        	Radioactive
Tabbie    	5	F	dirty yellow        	Healthy
Trip      	5	M	light green         	Radioactive
Dun       	5	M	olive yellow        	Healthy
Dannie    	5	M	dirty yellow        	Healthy
Myra      	5	F	dirty yellow        	Healthy
Kylynn    	5	F	olive yellow        	Radioactive
Anatola   	5	F	dirty yellow        	Healthy
Herb      	5	M	dirty yellow        	Healthy
Jandy     	5	F	dirty yellow        	Healthy
Eal       	5	M	olive yellow        	Radioactive
Lyndsey   	5	F	dirty yellow        	Healthy
Curr      	5	M	light green         	Radioactive
Conway    	5	M	olive yellow        	Radioactive
Antin     	5	M	light green         	Healthy
Shepperd  	5	M	olive yellow        	Healthy
Rollo     	5	M	dirty yellow        	Healthy
Lindsey   	5	F	dirty yellow        	Healthy
Wernher   	5	M	olive yellow        	Healthy
Ignace    	4	M	light green         	Radioactive
Delia     	4	F	olive yellow        	Healthy
Benedicto 	4	M	light green         	Radioactive
Winslow   	4	M	olive yellow        	Radioactive
Pepe      	4	M	dirty yellow        	Radioactive
Kara      	4	F	light green         	Radioactive
Diandra   	4	F	olive yellow        	Radioactive
Karlik    	4	M	dirty yellow        	Healthy
Ingamar   	4	M	dirty yellow        	Healthy
Tommie    	4	F	dirty yellow        	Healthy
Hally     	4	F	dirty yellow        	Healthy
Lory      	4	F	olive yellow        	Radioactive
Cornelius 	4	M	dirty yellow        	Healthy
Ellissa   	4	F	light green         	Radioactive
Ebenezer  	4	M	light green         	Radioactive
Darla     	4	F	olive yellow        	Radioactive
Ben       	4	M	dirty yellow        	Healthy
Celle     	4	F	dirty yellow        	Healthy
Heidi     	4	F	olive yellow        	Healthy
Reynold   	4	M	light green         	Radioactive
Herminia  	4	F	dirty yellow        	Healthy
Sutton    	4	M	olive yellow        	Radioactive
Mario     	4	M	dirty yellow        	Radioactive
Humfrid   	3	M	light green         	Radioactive
Marijo    	3	F	olive yellow        	Healthy
Dyan      	3	F	dirty yellow        	Healthy
Maggie    	3	F	light green         	Radioactive
Terrence  	3	M	olive yellow        	Radioactive
Brien     	3	M	dirty yellow        	Healthy
Davon     	3	M	light green         	Radioactive
Giraud    	3	M	olive yellow        	Radioactive
Lulita    	3	F	dirty yellow        	Healthy
Dacey     	3	F	dirty yellow        	Healthy
Brigida   	3	F	olive yellow        	Radioactive
Isabella  	3	F	olive yellow        	Radioactive
Ole       	3	M	dirty yellow        	Healthy
Eolanda   	3	F	light green         	Radioactive
Griffy    	3	M	olive yellow        	Radioactive
Madelin   	3	F	dirty yellow        	Healthy
Mag       	3	F	dirty yellow        	Healthy
Leif      	3	M	olive yellow        	Healthy
Lucien    	3	M	light green         	Radioactive
Myrah     	3	F	dirty yellow        	Healthy
Kikelia   	3	F	olive yellow        	Radioactive
Karoly    	3	M	dirty yellow        	Healthy
Candace   	3	F	dirty yellow        	Radioactive
Dino      	3	M	olive yellow        	Healthy
Herrick   	3	M	dirty yellow        	Healthy
Devinne   	3	F	olive yellow        	Radioactive
Pembroke  	3	M	dirty yellow        	Healthy
Justine   	2	F	light green         	Radioactive
Darb      	2	M	olive yellow        	Radioactive
Alvis     	2	M	dirty yellow        	Healthy
Katee     	2	F	olive yellow        	Healthy
Saba      	2	F	dirty yellow        	Healthy
Ardelia   	2	F	dirty yellow        	Healthy
Yelena    	2	F	olive yellow        	Healthy
Jennee    	2	F	dirty yellow        	Healthy
Leia      	2	F	dirty yellow        	Healthy
Gayla     	2	F	olive yellow        	Healthy
Marcille  	2	F	light green         	Radioactive
Clarke    	2	M	dirty yellow        	Healthy
Holt      	2	M	olive yellow        	Radioactive
Jenelle   	2	F	olive yellow        	Healthy
Ralf      	2	M	dirty yellow        	Healthy
Cobby     	2	M	dirty yellow        	Healthy
Maximilianus	2	M	olive yellow        	Radioactive
Clim      	2	M	dirty yellow        	Healthy
Keary     	2	M	dirty yellow        	Healthy
Ned       	2	M	dirty yellow        	Healthy
Dukey     	2	M	light green         	Healthy
Morna     	2	F	dirty yellow        	Healthy
Madelene  	2	F	olive yellow        	Radioactive
Rik       	2	M	olive yellow        	Healthy
Byron     	2	M	dirty yellow        	Healthy
Jase      	1	M	dirty yellow        	Healthy
Dorthy    	1	F	olive yellow        	Healthy
Bartholomeus	1	M	dirty yellow        	Healthy
Jehu      	1	M	olive yellow        	Healthy
Ynes      	1	F	light green         	Radioactive
Phedra    	1	F	dirty yellow        	Healthy
Nelly     	1	F	light green         	Healthy
Sauveur   	1	M	olive yellow        	Radioactive
Michaella 	1	F	olive yellow        	Healthy
Karlens   	1	M	dirty yellow        	Healthy
Leroi     	1	M	dirty yellow        	Healthy
Ferrel    	0	M	olive yellow        	Healthy
Todd      	0	M	dirty yellow        	Healthy
Kele      	0	M	olive yellow        	Healthy
Byron     	0	M	light green         	Healthy
Twyla     	0	F	olive yellow        	Healthy
Rudiger   	0	M	dirty yellow        	Radioactive
Emlen     	0	M	dirty yellow        	Healthy
Jeana     	0	F	light green         	Radioactive
Yuri      	0	M	olive yellow        	Healthy
Janaye    	0	F	dirty yellow        	Healthy
Lianne    	0	F	olive yellow        	Healthy
Corrina   	0	F	dirty yellow        	Healthy
Munroe    	0	M	dirty yellow        	Healthy
Patricio  	0	M	dirty yellow        	Healthy
Bevvy     	0	F	olive yellow        	Healthy
Maisey    	0	F	dirty yellow        	Healthy
Ashlie    	0	F	olive yellow        	Healthy
Ferd      	0	M	olive yellow        	Radioactive
------------------------------------------------------------------------
Lucius    	10	M	light green         	Radioactive
Guglielmo 	10	M	olive yellow        	Healthy
Mirabella 	10	F	dirty yellow        	Healthy
Tyler     	10	M	light green         	Healthy
Dinah     	10	F	olive yellow        	Radioactive
Rebeca    	10	F	dirty yellow        	Healthy
Melvyn    	9	M	light green         	Radioactive
Filberto  	9	M	olive yellow        	Healthy
Hedi      	9	F	dirty yellow        	Healthy
Teodorico 	9	M	light green         	Radioactive
Ewan      	9	M	olive yellow        	Radioactive
Augusta   	9	F	dirty yellow        	Radioactive
Arther    	9	M	light green         	Radioactive
Christin  	9	F	olive yellow        	Radioactive
Ferdie    	9	M	dirty yellow        	Healthy
Judah     	8	M	light green         	Radioactive
Garrick   	8	M	olive yellow        	Radioactive
Jeane     	8	F	dirty yellow        	Healthy
Bobinette 	8	F	light green         	Radioactive
Cassy     	8	F	olive yellow        	Radioactive
Mile      	8	M	dirty yellow        	Healthy
Nerita    	8	F	light green         	Radioactive
Ardine    	8	F	olive yellow        	Healthy
Chastity  	8	F	dirty yellow        	Healthy
Britte    	8	F	dirty yellow        	Healthy
Gabriellia	8	F	olive yellow        	Radioactive
Yehudi    	8	M	dirty yellow        	Healthy
Jorry     	7	F	light green         	Healthy
Raffaello 	7	M	olive yellow        	Healthy
Josselyn  	7	F	dirty yellow        	Healthy
Lorenzo   	7	M	light green         	Radioactive
Adelice   	7	F	olive yellow        	Radioactive
Arvie     	7	M	dirty yellow        	Radioactive
Hy        	7	M	light green         	Healthy
Bryanty   	7	M	olive yellow        	Radioactive
Twyla     	7	F	dirty yellow        	Healthy
Myron     	7	M	dirty yellow        	Healthy
Noll      	7	M	olive yellow        	Radioactive
Juliet    	7	F	dirty yellow        	Healthy
Isadora   	7	F	dirty yellow        	Healthy
Jackelyn  	7	F	dirty yellow        	Radioactive
Kin       	7	M	olive yellow        	Radioactive
Sheppard  	6	M	light green         	Radioactive
Shaine    	6	F	olive yellow        	Radioactive
Isidro    	6	M	dirty yellow        	Healthy
Kristien  	6	F	light green         	Radioactive
Johna     	6	F	olive yellow        	Radioactive
Tabbie    	6	F	dirty yellow        	Radioactive
Trip      	6	M	light green         	Radioactive
Dun       	6	M	olive yellow        	Healthy
Dannie    	6	M	dirty yellow        	Healthy
Myra      	6	F	dirty yellow        	Healthy
Kylynn    	6	F	olive yellow        	Radioactive
Anatola   	6	F	dirty yellow        	Healthy
Herb      	6	M	dirty yellow        	Healthy
Jandy     	6	F	dirty yellow        	Radioactive
Eal       	6	M	olive yellow        	Radioactive
Lyndsey   	6	F	dirty yellow        	Healthy
Curr      	6	M	light green         	Radioactive
Conway    	6	M	olive yellow        	Radioactive
Antin     	6	M	light green         	Radioactive
Shepperd  	6	M	olive yellow        	Healthy
Rollo     	6	M	dirty yellow        	Healthy
Lindsey   	6	F	dirty yellow        	Healthy
Wernher   	6	M	olive yellow        	Healthy
Ignace    	5	M	light green         	Radioactive
Delia     	5	F	olive yellow        	Healthy
Benedicto 	5	M	light green         	Radioactive
Winslow   	5	M	olive yellow        	Radioactive
Pepe      	5	M	dirty yellow        	Radioactive
Kara      	5	F	light green         	Radioactive
Diandra   	5	F	olive yellow        	Radioactive
Karlik    	5	M	dirty yellow        	Healthy
Ingamar   	5	M	dirty yellow        	Healthy
Tommie    	5	F	dirty yellow        	Healthy
Hally     	5	F	dirty yellow        	Healthy
Lory      	5	F	olive yellow        	Radioactive
Cornelius 	5	M	dirty yellow        	Healthy
Ellissa   	5	F	light green         	Radioactive
Ebenezer  	5	M	light green         	Radioactive
Darla     	5	F	olive yellow        	Radioactive
Ben       	5	M	dirty yellow        	Healthy
Celle     	5	F	dirty yellow        	Healthy
Heidi     	5	F	olive yellow        	Healthy
Reynold   	5	M	light green         	Radioactive
Herminia  	5	F	dirty yellow        	Radioactive
Sutton    	5	M	olive yellow        	Radioactive
Mario     	5	M	dirty yellow        	Radioactive
Humfrid   	4	M	light green         	Radioactive
Marijo    	4	F	olive yellow        	Healthy
Dyan      	4	F	dirty yellow        	Healthy
Maggie    	4	F	light green         	Radioactive
Terrence  	4	M	olive yellow        	Radioactive
Brien     	4	M	dirty yellow        	Radioactive
Davon     	4	M	light green         	Radioactive
Giraud    	4	M	olive yellow        	Radioactive
Lulita    	4	F	dirty yellow        	Healthy
Dacey     	4	F	dirty yellow        	Healthy
Brigida   	4	F	olive yellow        	Radioactive
Isabella  	4	F	olive yellow        	Radioactive
Ole       	4	M	dirty yellow        	Healthy
Eolanda   	4	F	light green         	Radioactive
Griffy    	4	M	olive yellow        	Radioactive
Madelin   	4	F	dirty yellow        	Healthy
Mag       	4	F	dirty yellow        	Healthy
Leif      	4	M	olive yellow        	Healthy
Lucien    	4	M	light green         	Radioactive
Myrah     	4	F	dirty yellow        	Healthy
Kikelia   	4	F	olive yellow        	Radioactive
Karoly    	4	M	dirty yellow        	Healthy
Candace   	4	F	dirty yellow        	Radioactive
Dino      	4	M	olive yellow        	Radioactive
Herrick   	4	M	dirty yellow        	Healthy
Devinne   	4	F	olive yellow        	Radioactive
Pembroke  	4	M	dirty yellow        	Healthy
Justine   	3	F	light green         	Radioactive
Darb      	3	M	olive yellow        	Radioactive
Alvis     	3	M	dirty yellow        	Healthy
Katee     	3	F	olive yellow        	Radioactive
Saba      	3	F	dirty yellow        	Healthy
Ardelia   	3	F	dirty yellow        	Healthy
Yelena    	3	F	olive yellow        	Healthy
Jennee    	3	F	dirty yellow        	Healthy
Leia      	3	F	dirty yellow        	Healthy
Gayla     	3	F	olive yellow        	Healthy
Marcille  	3	F	light green         	Radioactive
Clarke    	3	M	dirty yellow        	Healthy
Holt      	3	M	olive yellow        	Radioactive
Jenelle   	3	F	olive yellow        	Radioactive
Ralf      	3	M	dirty yellow        	Healthy
Cobby     	3	M	dirty yellow        	Healthy
Maximilianus	3	M	olive yellow        	Radioactive
Clim      	3	M	dirty yellow        	Healthy
Keary     	3	M	dirty yellow        	Healthy
Ned       	3	M	dirty yellow        	Healthy
Dukey     	3	M	light green         	Healthy
Morna     	3	F	dirty yellow        	Healthy
Madelene  	3	F	olive yellow        	Radioactive
Rik       	3	M	olive yellow        	Healthy
Byron     	3	M	dirty yellow        	Healthy
Jase      	2	M	dirty yellow        	Healthy
Dorthy    	2	F	olive yellow        	Healthy
Bartholomeus	2	M	dirty yellow        	Healthy
Jehu      	2	M	olive yellow        	Healthy
Ynes      	2	F	light green         	Radioactive
Phedra    	2	F	dirty yellow        	Healthy
Nelly     	2	F	light green         	Radioactive
Sauveur   	2	M	olive yellow        	Radioactive
Michaella 	2	F	olive yellow        	Healthy
Karlens   	2	M	dirty yellow        	Healthy
Leroi     	2	M	dirty yellow        	Healthy
Ferrel    	1	M	olive yellow        	Radioactive
Todd      	1	M	dirty yellow        	Healthy
Kele      	1	M	olive yellow        	Radioactive
Byron     	1	M	light green         	Healthy
Twyla     	1	F	olive yellow        	Radioactive
Rudiger   	1	M	dirty yellow        	Radioactive
Emlen     	1	M	dirty yellow        	Healthy
Jeana     	1	F	light green         	Radioactive
Yuri      	1	M	olive yellow        	Radioactive
Janaye    	1	F	dirty yellow        	Healthy
Lianne    	1	F	olive yellow        	Healthy
Corrina   	1	F	dirty yellow        	Healthy
Munroe    	1	M	dirty yellow        	Healthy
Patricio  	1	M	dirty yellow        	Healthy
Bevvy     	1	F	olive yellow        	Radioactive
Maisey    	1	F	dirty yellow        	Healthy
Ashlie    	1	F	olive yellow        	Healthy
Ferd      	1	M	olive yellow        	Radioactive
Ardelle   	0	F	dirty yellow        	Healthy
Jill      	0	F	olive yellow        	Healthy
Maurizio  	0	M	dirty yellow        	Healthy
Clayton   	0	M	olive yellow        	Radioactive
Wally     	0	F	light green         	Healthy
Damon     	0	M	dirty yellow        	Healthy
Barbette  	0	F	dirty yellow        	Healthy
Hyacinthe 	0	F	dirty yellow        	Healthy
Vincenz   	0	M	olive yellow        	Healthy
Chastity  	0	F	dirty yellow        	Healthy
Casar     	0	M	dirty yellow        	Healthy
Heloise   	0	F	dirty yellow        	Healthy
Foss      	0	M	olive yellow        	Healthy
------------------------------------------------------------------------
Melvyn    	10	M	light green         	Radioactive
Filberto  	10	M	olive yellow        	Healthy
Hedi      	10	F	dirty yellow        	Healthy
Teodorico 	10	M	light green         	Radioactive
Ewan      	10	M	olive yellow        	Radioactive
Augusta   	10	F	dirty yellow        	Radioactive
Arther    	10	M	light green         	Radioactive
Christin  	10	F	olive yellow        	Radioactive
Ferdie    	10	M	dirty yellow        	Healthy
Judah     	9	M	light green         	Radioactive
Garrick   	9	M	olive yellow        	Radioactive
Jeane     	9	F	dirty yellow        	Healthy
Bobinette 	9	F	light green         	Radioactive
Cassy     	9	F	olive yellow        	Radioactive
Mile      	9	M	dirty yellow        	Healthy
Nerita    	9	F	light green         	Radioactive
Ardine    	9	F	olive yellow        	Healthy
Chastity  	9	F	dirty yellow        	Healthy
Britte    	9	F	dirty yellow        	Radioactive
Gabriellia	9	F	olive yellow        	Radioactive
Yehudi    	9	M	dirty yellow        	Healthy
Jorry     	8	F	light green         	Healthy
Raffaello 	8	M	olive yellow        	Radioactive
Josselyn  	8	F	dirty yellow        	Radioactive
Lorenzo   	8	M	light green         	Radioactive
Adelice   	8	F	olive yellow        	Radioactive
Arvie     	8	M	dirty yellow        	Radioactive
Hy        	8	M	light green         	Healthy
Bryanty   	8	M	olive yellow        	Radioactive
Twyla     	8	F	dirty yellow        	Healthy
Myron     	8	M	dirty yellow        	Healthy
Noll      	8	M	olive yellow        	Radioactive
Juliet    	8	F	dirty yellow        	Healthy
Isadora   	8	F	dirty yellow        	Healthy
Jackelyn  	8	F	dirty yellow        	Radioactive
Kin       	8	M	olive yellow        	Radioactive
Sheppard  	7	M	light green         	Radioactive
Shaine    	7	F	olive yellow        	Radioactive
Isidro    	7	M	dirty yellow        	Healthy
Kristien  	7	F	light green         	Radioactive
Johna     	7	F	olive yellow        	Radioactive
Tabbie    	7	F	dirty yellow        	Radioactive
Trip      	7	M	light green         	Radioactive
Dun       	7	M	olive yellow        	Radioactive
Dannie    	7	M	dirty yellow        	Healthy
Myra      	7	F	dirty yellow        	Healthy
Kylynn    	7	F	olive yellow        	Radioactive
Anatola   	7	F	dirty yellow        	Healthy
Herb      	7	M	dirty yellow        	Healthy
Jandy     	7	F	dirty yellow        	Radioactive
Eal       	7	M	olive yellow        	Radioactive
Lyndsey   	7	F	dirty yellow        	Radioactive
Curr      	7	M	light green         	Radioactive
Conway    	7	M	olive yellow        	Radioactive
Antin     	7	M	light green         	Radioactive
Shepperd  	7	M	olive yellow        	Radioactive
Rollo     	7	M	dirty yellow        	Healthy
Lindsey   	7	F	dirty yellow        	Healthy
Wernher   	7	M	olive yellow        	Healthy
Ignace    	6	M	light green         	Radioactive
Delia     	6	F	olive yellow        	Radioactive
Benedicto 	6	M	light green         	Radioactive
Winslow   	6	M	olive yellow        	Radioactive
Pepe      	6	M	dirty yellow        	Radioactive
Kara      	6	F	light green         	Radioactive
Diandra   	6	F	olive yellow        	Radioactive
Karlik    	6	M	dirty yellow        	Healthy
Ingamar   	6	M	dirty yellow        	Healthy
Tommie    	6	F	dirty yellow        	Healthy
Hally     	6	F	dirty yellow        	Radioactive
Lory      	6	F	olive yellow        	Radioactive
Cornelius 	6	M	dirty yellow        	Healthy
Ellissa   	6	F	light green         	Radioactive
Ebenezer  	6	M	light green         	Radioactive
Darla     	6	F	olive yellow        	Radioactive
Ben       	6	M	dirty yellow        	Healthy
Celle     	6	F	dirty yellow        	Healthy
Heidi     	6	F	olive yellow        	Healthy
Reynold   	6	M	light green         	Radioactive
Herminia  	6	F	dirty yellow        	Radioactive
Sutton    	6	M	olive yellow        	Radioactive
Mario     	6	M	dirty yellow        	Radioactive
Humfrid   	5	M	light green         	Radioactive
Marijo    	5	F	olive yellow        	Radioactive
Dyan      	5	F	dirty yellow        	Healthy
Maggie    	5	F	light green         	Radioactive
Terrence  	5	M	olive yellow        	Radioactive
Brien     	5	M	dirty yellow        	Radioactive
Davon     	5	M	light green         	Radioactive
Giraud    	5	M	olive yellow        	Radioactive
Lulita    	5	F	dirty yellow        	Healthy
Dacey     	5	F	dirty yellow        	Healthy
Brigida   	5	F	olive yellow        	Radioactive
Isabella  	5	F	olive yellow        	Radioactive
Ole       	5	M	dirty yellow        	Healthy
Eolanda   	5	F	light green         	Radioactive
Griffy    	5	M	olive yellow        	Radioactive
Madelin   	5	F	dirty yellow        	Healthy
Mag       	5	F	dirty yellow        	Healthy
Leif      	5	M	olive yellow        	Radioactive
Lucien    	5	M	light green         	Radioactive
Myrah     	5	F	dirty yellow        	Healthy
Kikelia   	5	F	olive yellow        	Radioactive
Karoly    	5	M	dirty yellow        	Healthy
Candace   	5	F	dirty yellow        	Radioactive
Dino      	5	M	olive yellow        	Radioactive
Herrick   	5	M	dirty yellow        	Healthy
Devinne   	5	F	olive yellow        	Radioactive
Pembroke  	5	M	dirty yellow        	Healthy
Justine   	4	F	light green         	Radioactive
Darb      	4	M	olive yellow        	Radioactive
Alvis     	4	M	dirty yellow        	Healthy
Katee     	4	F	olive yellow        	Radioactive
Saba      	4	F	dirty yellow        	Healthy
Ardelia   	4	F	dirty yellow        	Healthy
Yelena    	4	F	olive yellow        	Healthy
Jennee    	4	F	dirty yellow        	Healthy
Leia      	4	F	dirty yellow        	Radioactive
Gayla     	4	F	olive yellow        	Healthy
Marcille  	4	F	light green         	Radioactive
Clarke    	4	M	dirty yellow        	Radioactive
Holt      	4	M	olive yellow        	Radioactive
Jenelle   	4	F	olive yellow        	Radioactive
Ralf      	4	M	dirty yellow        	Radioactive
Cobby     	4	M	dirty yellow        	Healthy
Maximilianus	4	M	olive yellow        	Radioactive
Clim      	4	M	dirty yellow        	Radioactive
Keary     	4	M	dirty yellow        	Healthy
Ned       	4	M	dirty yellow        	Radioactive
Dukey     	4	M	light green         	Radioactive
Morna     	4	F	dirty yellow        	Healthy
Madelene  	4	F	olive yellow        	Radioactive
Rik       	4	M	olive yellow        	Healthy
Byron     	4	M	dirty yellow        	Radioactive
Jase      	3	M	dirty yellow        	Healthy
Dorthy    	3	F	olive yellow        	Healthy
Bartholomeus	3	M	dirty yellow        	Healthy
Jehu      	3	M	olive yellow        	Healthy
Ynes      	3	F	light green         	Radioactive
Phedra    	3	F	dirty yellow        	Healthy
Nelly     	3	F	light green         	Radioactive
Sauveur   	3	M	olive yellow        	Radioactive
Michaella 	3	F	olive yellow        	Radioactive
Karlens   	3	M	dirty yellow        	Healthy
