
Hanson    	1	M	lighter green       	Healthy
Trueman   	4	M	candy pink          	Healthy
Onfroi    	4	M	red purple          	Healthy
Toddy     	4	M	candy pink          	Healthy
Meredith  	4	M	candy pink          	Healthy
Paquito   	4	M	red purple          	Healthy
Mikey     	4	M	red purple          	Healthy
Yasmeen   	4	F	candy pink          	Healthy
Giffie    	4	M	candy pink          	Healthy
Maximilien	4	M	candy pink          	Healthy
Chere     	4	F	red purple          	Healthy
Harri     	4	F	red purple          	Healthy
Farris    	4	M	candy pink          	Healthy
Philippine	4	F	candy pink          	Healthy
Rae       	4	F	candy pink          	Healthy
Dasya     	4	F	red purple          	Healthy
Genovera  	4	F	candy pink          	Healthy
Kerwinn   	4	M	candy pink          	Healthy
Jeniece   	4	F	candy pink          	Healthy
Brittni   	4	F	candy pink          	Healthy
Alison    	4	F	candy pink          	Healthy
Glory     	4	F	candy pink          	Healthy
Lyndy     	4	F	candy pink          	Healthy
Hartley   	3	M	candy pink          	Healthy
Dickie    	3	M	red purple          	Healthy
Patty     	3	M	red purple          	Healthy
Gilemette 	3	F	candy pink          	Healthy
Orren     	3	M	candy pink          	Healthy
Livvie    	3	F	candy pink          	Healthy
Brooks    	3	F	candy pink          	Healthy
Meridel   	3	F	red purple          	Healthy
Tallia    	3	F	red purple          	Healthy
Megan     	3	F	red purple          	Healthy
Esme      	3	M	red purple          	Healthy
Hillery   	3	M	candy pink          	Healthy
Francklin 	3	M	candy pink          	Healthy
Kimberlyn 	3	F	red purple          	Healthy
Ingar     	3	M	candy pink          	Healthy
Tanner    	3	M	red purple          	Healthy
Ardella   	3	F	candy pink          	Radioactive
Marcus    	3	M	red purple          	Healthy
Jodi      	3	F	candy pink          	Healthy
Kat       	3	F	candy pink          	Healthy
Dougie    	3	M	candy pink          	Healthy
Brand     	3	M	red purple          	Healthy
Aurlie    	3	F	red purple          	Healthy
Sybilla   	3	F	candy pink          	Healthy
Neille    	3	F	red purple          	Healthy
Dom       	3	M	candy pink          	Healthy
Elonore   	3	F	red purple          	Healthy
Rona      	3	F	red purple          	Healthy
Lyndsay   	3	F	red purple          	Healthy
Ricki     	3	M	candy pink          	Healthy
Lin       	3	M	candy pink          	Healthy
Doris     	3	F	red purple          	Healthy
Demetra   	3	F	red purple          	Healthy
Linnell   	3	F	red purple          	Healthy
Karissa   	3	F	candy pink          	Healthy
Jennica   	3	F	candy pink          	Healthy
Deeann    	3	F	candy pink          	Healthy
Orton     	3	M	candy pink          	Healthy
Jeramie   	3	M	candy pink          	Healthy
Maryanna  	3	F	red purple          	Healthy
Emanuele  	3	M	candy pink          	Healthy
Ronald    	3	M	candy pink          	Healthy
Clemmie   	3	M	red purple          	Healthy
Eddie     	3	F	red purple          	Healthy
Madelena  	3	F	candy pink          	Healthy
Kordula   	3	F	red purple          	Healthy
Emelyne   	3	F	red purple          	Healthy
Atlanta   	3	F	red purple          	Healthy
Amelita   	2	F	candy pink          	Healthy
Cora      	2	F	candy pink          	Healthy
Catarina  	2	F	red purple          	Healthy
Nowell    	2	M	red purple          	Healthy
Clyve     	2	M	red purple          	Healthy
Calypso   	2	F	candy pink          	Healthy
Bridie    	2	F	red purple          	Healthy
Grazia    	2	F	red purple          	Healthy
Florrie   	2	F	red purple          	Healthy
Fenelia   	2	F	red purple          	Healthy
Leigha    	2	F	red purple          	Healthy
Gideon    	2	M	candy pink          	Healthy
Jordana   	2	F	candy pink          	Healthy
Haze      	2	M	candy pink          	Healthy
Barr      	2	M	red purple          	Healthy
Baxter    	2	M	candy pink          	Healthy
Chickie   	2	F	red purple          	Healthy
Jon       	2	M	candy pink          	Healthy
Rakel     	2	F	candy pink          	Healthy
Diarmid   	2	M	candy pink          	Healthy
Baryram   	2	M	red purple          	Healthy
Emelita   	2	F	candy pink          	Healthy
Marilyn   	2	F	candy pink          	Healthy
Charo     	2	F	red purple          	Healthy
Faunie    	2	F	candy pink          	Healthy
Terrence  	2	M	red purple          	Healthy
Jethro    	2	M	candy pink          	Healthy
Anastasie 	2	F	candy pink          	Healthy
Harald    	2	M	red purple          	Healthy
Dinah     	2	F	candy pink          	Healthy
Pavia     	2	F	red purple          	Healthy
Reuben    	2	M	candy pink          	Healthy
Jae       	2	M	candy pink          	Radioactive
Torrance  	2	M	candy pink          	Healthy
Kristofer 	2	M	candy pink          	Healthy
Padgett   	2	M	candy pink          	Radioactive
Esdras    	2	M	red purple          	Healthy
Pammie    	2	F	candy pink          	Healthy
Inigo     	2	M	red purple          	Healthy
Leonelle  	2	F	red purple          	Healthy
Dominick  	2	M	candy pink          	Healthy
Morley    	2	M	red purple          	Healthy
Avram     	2	M	red purple          	Healthy
Heall     	2	M	red purple          	Healthy
Janifer   	2	F	candy pink          	Healthy
Tabor     	2	M	candy pink          	Healthy
Sara      	2	F	candy pink          	Healthy
Josepha   	2	F	candy pink          	Healthy
Erwin     	2	M	red purple          	Healthy
Van       	2	M	candy pink          	Healthy
Kirby     	2	M	candy pink          	Healthy
Rosette   	1	F	candy pink          	Healthy
Rip       	1	M	candy pink          	Healthy
Kara-Lynn 	1	F	red purple          	Healthy
Nil       	1	M	red purple          	Healthy
Winonah   	1	F	red purple          	Healthy
Alexia    	1	F	candy pink          	Healthy
Halli     	1	F	red purple          	Healthy
Ivy       	1	F	candy pink          	Healthy
Chan      	1	M	red purple          	Healthy
Fernande  	1	F	red purple          	Healthy
Seumas    	1	M	red purple          	Healthy
Jone      	1	M	candy pink          	Healthy
Beverie   	1	F	candy pink          	Radioactive
Sheeree   	1	F	candy pink          	Healthy
Bethina   	1	F	red purple          	Healthy
Parker    	1	M	candy pink          	Healthy
Vin       	1	F	candy pink          	Healthy
Jolie     	1	F	red purple          	Healthy
Laney     	1	F	candy pink          	Healthy
Rafe      	1	M	red purple          	Healthy
Cyrille   	1	M	candy pink          	Healthy
Stafford  	1	M	red purple          	Healthy
Rebeka    	1	F	red purple          	Healthy
Bartholomeo	1	M	candy pink          	Radioactive
Lauren    	1	M	candy pink          	Healthy
Morton    	1	M	candy pink          	Healthy
Moselle   	1	F	red purple          	Healthy
Flossy    	1	F	red purple          	Healthy
Stuart    	1	M	candy pink          	Healthy
Helga     	1	F	candy pink          	Healthy
Beckie    	1	F	red purple          	Healthy
Morry     	1	M	candy pink          	Healthy
Alberta   	1	F	candy pink          	Healthy
Darby     	1	M	candy pink          	Healthy
Quintus   	1	M	candy pink          	Healthy
Karen     	1	F	candy pink          	Healthy
Renie     	1	F	candy pink          	Healthy
Ker       	1	M	red purple          	Healthy
Willetta  	1	F	red purple          	Healthy
Caddric   	1	M	candy pink          	Healthy
Adolph    	1	M	candy pink          	Healthy
Margie    	1	F	red purple          	Healthy
Ermentrude	1	F	red purple          	Radioactive
Tamas     	1	M	red purple          	Healthy
Deanne    	0	F	red purple          	Healthy
Rob       	0	M	candy pink          	Healthy
Marysa    	0	F	red purple          	Healthy
Gordon    	0	M	red purple          	Healthy
Arnoldo   	0	M	red purple          	Radioactive
Bard      	0	M	red purple          	Healthy
Itch      	0	M	candy pink          	Healthy
Gisela    	0	F	candy pink          	Healthy
Tybalt    	0	M	candy pink          	Healthy
Rodrigo   	0	M	red purple          	Healthy
Zandra    	0	F	red purple          	Healthy
Barrie    	0	M	candy pink          	Healthy
Denni     	0	F	candy pink          	Healthy
Douglas   	0	M	red purple          	Healthy
Cam       	0	F	candy pink          	Healthy
Darb      	0	F	candy pink          	Healthy
Fleurette 	0	F	red purple          	Healthy
Garv      	0	M	red purple          	Healthy
Regine    	0	F	candy pink          	Healthy
Freedman  	0	M	red purple          	Healthy
Enrico    	0	M	candy pink          	Healthy
Kristine  	0	F	candy pink          	Healthy
Tanner    	0	M	candy pink          	Healthy
Etti      	0	F	red purple          	Healthy
Tomas     	0	M	candy pink          	Healthy
Oliver    	0	M	candy pink          	Healthy
Mommy     	0	F	candy pink          	Healthy
Blithe    	0	F	candy pink          	Healthy
Isac      	0	M	candy pink          	Healthy
Frederique	0	F	candy pink          	Healthy
Claude    	0	F	red purple          	Healthy
Rudd      	0	M	red purple          	Healthy
Reggy     	0	M	candy pink          	Healthy
Ellyn     	0	F	candy pink          	Healthy
Wendy     	0	F	red purple          	Radioactive
Garrot    	0	M	red purple          	Healthy
Roderick  	0	M	candy pink          	Healthy
Florella  	0	F	candy pink          	Healthy
Almire    	0	F	candy pink          	Healthy
Gram      	0	M	candy pink          	Healthy
------------------------------------------------------------------------
Mikkel    	10	M	red purple          	Healthy
Aprilette 	10	F	red purple          	Healthy
Alasdair  	10	M	candy pink          	Healthy
Haskell   	10	M	red purple          	Healthy
Wheeler   	10	M	candy pink          	Healthy
Cindee    	10	F	candy pink          	Healthy
Madelene  	10	F	red purple          	Healthy
Lenore    	10	F	red purple          	Healthy
Aube      	10	M	candy pink          	Healthy
Micheal   	10	M	red purple          	Healthy
Glennie   	10	F	candy pink          	Healthy
Bernhard  	10	M	candy pink          	Healthy
Hayward   	10	M	red purple          	Healthy
Forrester 	10	M	red purple          	Healthy
Denyse    	10	F	candy pink          	Healthy
Susanetta 	10	F	red purple          	Healthy
Elga      	10	F	red purple          	Healthy
Cecil     	10	F	red purple          	Healthy
Robers    	10	M	candy pink          	Healthy
Florie    	10	F	candy pink          	Healthy
Ricki     	10	F	red purple          	Healthy
Claudia   	10	F	candy pink          	Radioactive
Helaine   	10	F	red purple          	Healthy
Brook     	10	F	red purple          	Healthy
Kippy     	10	F	red purple          	Healthy
Janella   	10	F	candy pink          	Healthy
Thedrick  	10	M	candy pink          	Healthy
Mary      	10	F	candy pink          	Healthy
Ludovika  	10	F	red purple          	Healthy
Deloria   	9	F	red purple          	Healthy
Orelie    	9	F	red purple          	Healthy
Kaitlin   	9	F	candy pink          	Healthy
Malia     	9	F	red purple          	Healthy
Pietro    	9	M	candy pink          	Healthy
Kincaid   	9	M	candy pink          	Healthy
Guthrie   	9	M	red purple          	Healthy
Kerk      	9	M	red purple          	Healthy
Carney    	9	M	candy pink          	Healthy
Immanuel  	9	M	candy pink          	Healthy
Willem    	9	M	candy pink          	Radioactive
Holli     	9	F	red purple          	Healthy
Orlando   	9	M	red purple          	Healthy
Hinze     	9	M	candy pink          	Healthy
Huntington	9	M	red purple          	Healthy
Stephana  	9	F	red purple          	Healthy
Margo     	9	F	candy pink          	Healthy
Calhoun   	9	M	candy pink          	Healthy
Alf       	9	M	red purple          	Healthy
Adelheid  	9	F	candy pink          	Healthy
Kaitlyn   	9	F	red purple          	Healthy
Stanton   	9	M	red purple          	Healthy
Domenico  	9	M	red purple          	Healthy
Gerrilee  	9	F	candy pink          	Healthy
Monika    	9	F	candy pink          	Healthy
Nettie    	9	F	candy pink          	Healthy
Annis     	9	F	red purple          	Healthy
Elmira    	9	F	red purple          	Healthy
Jarid     	9	M	candy pink          	Healthy
Kimball   	9	M	red purple          	Healthy
Maggi     	9	F	red purple          	Healthy
Siana     	9	F	candy pink          	Healthy
Abagael   	9	F	red purple          	Healthy
Crysta    	9	F	red purple          	Healthy
Thornton  	9	M	red purple          	Healthy
Etienne   	9	M	red purple          	Healthy
Jeramie   	9	M	candy pink          	Healthy
Emmery    	9	M	red purple          	Healthy
Jaine     	8	F	red purple          	Healthy
Kipp      	8	F	candy pink          	Healthy
Mabelle   	8	F	red purple          	Healthy
Chery     	8	F	candy pink          	Healthy
Dev       	8	M	candy pink          	Healthy
Isaac     	8	M	red purple          	Healthy
Auberon   	8	M	red purple          	Healthy
Joleen    	8	F	candy pink          	Healthy
Jehu      	8	M	candy pink          	Healthy
Emery     	8	M	candy pink          	Healthy
Phaidra   	8	F	red purple          	Healthy
Gertrude  	8	F	red purple          	Healthy
Gaspard   	8	M	candy pink          	Healthy
Berny     	8	M	red purple          	Healthy
Harrie    	8	F	red purple          	Healthy
Teodoor   	8	M	candy pink          	Healthy
Maynord   	8	M	candy pink          	Healthy
Wainwright	8	M	red purple          	Healthy
Everard   	8	M	candy pink          	Healthy
Otha      	8	F	red purple          	Healthy
Bret      	8	M	red purple          	Healthy
Ritchie   	8	M	candy pink          	Healthy
Shaughn   	8	M	candy pink          	Healthy
Adaline   	8	F	candy pink          	Healthy
Jany      	8	F	red purple          	Healthy
Liz       	8	F	red purple          	Healthy
Anne-Corinne	8	F	candy pink          	Healthy
See       	8	M	red purple          	Healthy
Pieter    	8	M	red purple          	Healthy
Kipp      	8	M	candy pink          	Healthy
Rita      	8	F	red purple          	Healthy
Carrol    	8	M	red purple          	Healthy
Dilan     	8	M	red purple          	Healthy
Sharline  	8	F	red purple          	Healthy
Mace      	8	M	candy pink          	Healthy
Bax       	8	M	red purple          	Healthy
Trudi     	8	F	red purple          	Healthy
Isidoro   	8	M	candy pink          	Healthy
Carleen   	8	F	red purple          	Radioactive
Corry     	8	F	red purple          	Healthy
Pincus    	8	M	candy pink          	Healthy
Arthur    	8	M	candy pink          	Healthy
Marna     	8	F	red purple          	Healthy
Daveta    	8	F	red purple          	Healthy
Kellina   	8	F	candy pink          	Healthy
Elfrida   	8	F	red purple          	Healthy
Brittne   	8	F	candy pink          	Healthy
Cello     	8	M	red purple          	Healthy
Jess      	8	F	red purple          	Healthy
Shara     	8	F	candy pink          	Healthy
Pen       	8	F	candy pink          	Healthy
Suzie     	7	F	red purple          	Healthy
Sigrid    	7	F	candy pink          	Healthy
Bret      	7	M	candy pink          	Healthy
Leshia    	7	F	red purple          	Healthy
Windy     	7	F	red purple          	Healthy
Lucila    	7	F	candy pink          	Healthy
Cloe      	7	F	red purple          	Healthy
Imogene   	7	F	candy pink          	Healthy
William   	7	M	candy pink          	Healthy
Marja     	7	F	red purple          	Healthy
Leonore   	7	F	candy pink          	Healthy
Gena      	7	F	red purple          	Healthy
Zachery   	7	M	red purple          	Healthy
Desi      	7	M	candy pink          	Healthy
Brooks    	7	M	candy pink          	Healthy
Riley     	7	M	red purple          	Healthy
Nikkie    	7	F	candy pink          	Healthy
Alyce     	7	F	candy pink          	Healthy
Colver    	7	M	candy pink          	Healthy
Benoit    	7	M	candy pink          	Radioactive
Jaymee    	7	F	red purple          	Healthy
Willetta  	7	F	red purple          	Healthy
Duane     	7	M	candy pink          	Healthy
Roby      	7	F	candy pink          	Healthy
Rollins   	7	M	red purple          	Healthy
Muhammad  	7	M	red purple          	Healthy
Bren      	7	F	red purple          	Healthy
Winna     	7	F	candy pink          	Healthy
Leena     	7	F	red purple          	Healthy
Gabey     	7	F	candy pink          	Healthy
Randie    	7	F	red purple          	Healthy
Kele      	7	M	red purple          	Healthy
Jemie     	7	F	candy pink          	Healthy
Hubie     	7	M	red purple          	Healthy
Dyanne    	7	F	candy pink          	Healthy
Jamal     	7	M	red purple          	Healthy
Martelle  	7	F	candy pink          	Radioactive
Bar       	7	M	red purple          	Healthy
Iver      	7	M	red purple          	Healthy
Wait      	7	M	red purple          	Healthy
Valle     	7	M	candy pink          	Healthy
Nanci     	7	F	candy pink          	Healthy
Alasdair  	7	M	red purple          	Healthy
Tarrance  	7	M	candy pink          	Healthy
Ryon      	7	M	red purple          	Healthy
Ainslie   	7	F	red purple          	Healthy
Annetta   	7	F	candy pink          	Healthy
Nicolina  	7	F	candy pink          	Healthy
Geri      	7	F	candy pink          	Healthy
Woodrow   	7	M	candy pink          	Healthy
Carny     	7	M	candy pink          	Healthy
Leora     	7	F	red purple          	Healthy
Bertie    	7	M	candy pink          	Healthy
King      	7	M	red purple          	Healthy
Pepito    	7	M	red purple          	Healthy
Lay       	6	M	candy pink          	Healthy
Robinet   	6	M	red purple          	Healthy
Melinde   	6	F	red purple          	Healthy
Angelo    	6	M	candy pink          	Healthy
Corny     	6	M	candy pink          	Healthy
Quinn     	6	F	red purple          	Healthy
Elia      	6	M	red purple          	Healthy
Andonis   	6	M	red purple          	Healthy
Eldredge  	6	M	red purple          	Healthy
Maje      	6	M	candy pink          	Healthy
Jayme     	6	M	candy pink          	Healthy
Elvera    	6	F	candy pink          	Healthy
Kristofor 	6	M	candy pink          	Healthy
Lilla     	6	F	candy pink          	Healthy
Randee    	6	F	candy pink          	Healthy
Chick     	6	M	red purple          	Healthy
Ladonna   	6	F	red purple          	Healthy
Sarita    	6	F	candy pink          	Healthy
Camilla   	6	F	red purple          	Healthy
Donal     	6	M	red purple          	Healthy
Glenden   	6	M	red purple          	Healthy
Marris    	6	F	red purple          	Healthy
Audre     	6	F	candy pink          	Healthy
Tiffi     	6	F	red purple          	Healthy
Berget    	6	F	red purple          	Healthy
Maurine   	6	F	candy pink          	Healthy
Cyrille   	6	M	candy pink          	Healthy
Elmer     	6	M	red purple          	Healthy
Bennie    	6	M	candy pink          	Healthy
Carolus   	6	M	candy pink          	Healthy
Wynn      	6	F	red purple          	Healthy
Maegan    	6	F	candy pink          	Healthy
Zelda     	6	F	candy pink          	Healthy
Jaine     	6	F	candy pink          	Healthy
Caesar    	6	M	red purple          	Healthy
Normy     	6	M	red purple          	Healthy
Franny    	6	M	candy pink          	Healthy
Jasper    	6	M	candy pink          	Healthy
Chrisse   	6	M	candy pink          	Healthy
Jeanne    	6	F	red purple          	Healthy
Luella    	6	F	red purple          	Healthy
Derek     	6	M	candy pink          	Healthy
Tabbie    	6	F	candy pink          	Healthy
Licha     	6	F	red purple          	Healthy
Hyacinth  	6	F	red purple          	Healthy
Quincy    	6	M	candy pink          	Healthy
Roxane    	6	F	candy pink          	Healthy
Bryanty   	6	M	red purple          	Healthy
Felike    	6	M	red purple          	Healthy
Wilhelm   	6	M	candy pink          	Healthy
Franklyn  	6	M	candy pink          	Healthy
Roosevelt 	6	M	candy pink          	Healthy
Helga     	5	F	red purple          	Healthy
Fredrick  	5	M	candy pink          	Healthy
Garvin    	5	M	candy pink          	Healthy
Roxane    	5	F	candy pink          	Healthy
Dasi      	5	F	red purple          	Healthy
Angelico  	5	M	candy pink          	Healthy
Parrnell  	5	M	red purple          	Healthy
Minnie    	5	F	candy pink          	Healthy
Max       	5	M	candy pink          	Healthy
Corny     	5	F	candy pink          	Healthy
Derby     	5	M	candy pink          	Healthy
Ed        	5	M	red purple          	Healthy
Inge      	5	F	candy pink          	Healthy
Piper     	5	F	candy pink          	Healthy
Maye      	5	F	red purple          	Healthy
Tamra     	5	F	red purple          	Healthy
Georgianne	5	F	red purple          	Healthy
Hyacintha 	5	F	red purple          	Healthy
Roz       	5	F	red purple          	Healthy
Milly     	5	F	red purple          	Healthy
Leonerd   	5	M	candy pink          	Healthy
Atalanta  	5	F	red purple          	Healthy
Jarrod    	5	M	red purple          	Healthy
Gottfried 	5	M	candy pink          	Healthy
Shelba    	5	F	red purple          	Healthy
Morgen    	5	M	candy pink          	Healthy
Talbot    	5	M	red purple          	Healthy
Lenette   	5	F	candy pink          	Healthy
Cad       	5	M	candy pink          	Healthy
Suellen   	5	F	red purple          	Healthy
August    	5	M	candy pink          	Healthy
Braden    	5	M	candy pink          	Healthy
Noak      	5	M	candy pink          	Healthy
Emmaline  	5	F	candy pink          	Healthy
Valentina 	5	F	red purple          	Healthy
Yard      	5	M	red purple          	Healthy
Web       	5	M	candy pink          	Healthy
Wendi     	5	F	candy pink          	Healthy
Trueman   	5	M	candy pink          	Healthy
Onfroi    	5	M	red purple          	Healthy
Toddy     	5	M	candy pink          	Healthy
Meredith  	5	M	candy pink          	Healthy
Paquito   	5	M	red purple          	Healthy
Mikey     	5	M	red purple          	Healthy
Yasmeen   	5	F	candy pink          	Healthy
Giffie    	5	M	candy pink          	Healthy
Maximilien	5	M	candy pink          	Healthy
Chere     	5	F	red purple          	Healthy
Harri     	5	F	red purple          	Healthy
Farris    	5	M	candy pink          	Healthy
Philippine	5	F	candy pink          	Healthy
Rae       	5	F	candy pink          	Healthy
Dasya     	5	F	red purple          	Healthy
Genovera  	5	F	candy pink          	Healthy
Kerwinn   	5	M	candy pink          	Healthy
Jeniece   	5	F	candy pink          	Healthy
Brittni   	5	F	candy pink          	Healthy
Alison    	5	F	candy pink          	Healthy
Glory     	5	F	candy pink          	Healthy
Lyndy     	5	F	candy pink          	Healthy
Hartley   	4	M	candy pink          	Healthy
Dickie    	4	M	red purple          	Healthy
Patty     	4	M	red purple          	Healthy
Gilemette 	4	F	candy pink          	Healthy
Orren     	4	M	candy pink          	Healthy
Livvie    	4	F	candy pink          	Healthy
Brooks    	4	F	candy pink          	Healthy
Meridel   	4	F	red purple          	Healthy
Tallia    	4	F	red purple          	Healthy
Megan     	4	F	red purple          	Healthy
Esme      	4	M	red purple          	Healthy
Hillery   	4	M	candy pink          	Healthy
Francklin 	4	M	candy pink          	Healthy
Kimberlyn 	4	F	red purple          	Healthy
Ingar     	4	M	candy pink          	Healthy
Tanner    	4	M	red purple          	Healthy
Ardella   	4	F	candy pink          	Radioactive
Marcus    	4	M	red purple          	Healthy
Jodi      	4	F	candy pink          	Healthy
Kat       	4	F	candy pink          	Healthy
Dougie    	4	M	candy pink          	Healthy
Brand     	4	M	red purple          	Healthy
Aurlie    	4	F	red purple          	Healthy
Sybilla   	4	F	candy pink          	Healthy
Neille    	4	F	red purple          	Healthy
Dom       	4	M	candy pink          	Healthy
Elonore   	4	F	red purple          	Healthy
Rona      	4	F	red purple          	Healthy
Lyndsay   	4	F	red purple          	Healthy
Ricki     	4	M	candy pink          	Healthy
Lin       	4	M	candy pink          	Healthy
Doris     	4	F	red purple          	Healthy
Demetra   	4	F	red purple          	Healthy
Linnell   	4	F	red purple          	Healthy
Karissa   	4	F	candy pink          	Healthy
Jennica   	4	F	candy pink          	Radioactive
Deeann    	4	F	candy pink          	Healthy
Orton     	4	M	candy pink          	Healthy
Jeramie   	4	M	candy pink          	Healthy
Maryanna  	4	F	red purple          	Healthy
Emanuele  	4	M	candy pink          	Healthy
Ronald    	4	M	candy pink          	Healthy
Clemmie   	4	M	red purple          	Healthy
Eddie     	4	F	red purple          	Healthy
Madelena  	4	F	candy pink          	Healthy
Kordula   	4	F	red purple          	Healthy
Emelyne   	4	F	red purple          	Healthy
Atlanta   	4	F	red purple          	Healthy
Amelita   	3	F	candy pink          	Healthy
Cora      	3	F	candy pink          	Healthy
Catarina  	3	F	red purple          	Healthy
Nowell    	3	M	red purple          	Healthy
Clyve     	3	M	red purple          	Healthy
Calypso   	3	F	candy pink          	Healthy
Bridie    	3	F	red purple          	Healthy
Grazia    	3	F	red purple          	Healthy
Florrie   	3	F	red purple          	Healthy
Fenelia   	3	F	red purple          	Healthy
Leigha    	3	F	red purple          	Healthy
Gideon    	3	M	candy pink          	Healthy
Jordana   	3	F	candy pink          	Healthy
Haze      	3	M	candy pink          	Healthy
Barr      	3	M	red purple          	Healthy
Baxter    	3	M	candy pink          	Healthy
Chickie   	3	F	red purple          	Healthy
Jon       	3	M	candy pink          	Healthy
Rakel     	3	F	candy pink          	Healthy
Diarmid   	3	M	candy pink          	Healthy
Baryram   	3	M	red purple          	Healthy
Emelita   	3	F	candy pink          	Healthy
Marilyn   	3	F	candy pink          	Healthy
Charo     	3	F	red purple          	Healthy
Faunie    	3	F	candy pink          	Healthy
Terrence  	3	M	red purple          	Healthy
Jethro    	3	M	candy pink          	Healthy
Anastasie 	3	F	candy pink          	Healthy
Harald    	3	M	red purple          	Healthy
Dinah     	3	F	candy pink          	Healthy
Pavia     	3	F	red purple          	Healthy
Reuben    	3	M	candy pink          	Healthy
Jae       	3	M	candy pink          	Radioactive
Torrance  	3	M	candy pink          	Healthy
Kristofer 	3	M	candy pink          	Healthy
Padgett   	3	M	candy pink          	Radioactive
Esdras    	3	M	red purple          	Radioactive
Pammie    	3	F	candy pink          	Healthy
Inigo     	3	M	red purple          	Healthy
Leonelle  	3	F	red purple          	Healthy
Dominick  	3	M	candy pink          	Healthy
Morley    	3	M	red purple          	Healthy
Avram     	3	M	red purple          	Healthy
Heall     	3	M	red purple          	Healthy
Janifer   	3	F	candy pink          	Healthy
Tabor     	3	M	candy pink          	Healthy
Sara      	3	F	candy pink          	Healthy
Josepha   	3	F	candy pink          	Healthy
Erwin     	3	M	red purple          	Healthy
Van       	3	M	candy pink          	Radioactive
Kirby     	3	M	candy pink          	Healthy
Rosette   	2	F	candy pink          	Healthy
Rip       	2	M	candy pink          	Healthy
Kara-Lynn 	2	F	red purple          	Healthy
Nil       	2	M	red purple          	Healthy
Winonah   	2	F	red purple          	Healthy
Alexia    	2	F	candy pink          	Healthy
Halli     	2	F	red purple          	Healthy
Ivy       	2	F	candy pink          	Healthy
Chan      	2	M	red purple          	Healthy
Fernande  	2	F	red purple          	Healthy
Seumas    	2	M	red purple          	Healthy
Jone      	2	M	candy pink          	Healthy
Beverie   	2	F	candy pink          	Radioactive
Sheeree   	2	F	candy pink          	Healthy
Bethina   	2	F	red purple          	Healthy
Parker    	2	M	candy pink          	Healthy
Vin       	2	F	candy pink          	Healthy
Jolie     	2	F	red purple          	Healthy
Laney     	2	F	candy pink          	Healthy
Rafe      	2	M	red purple          	Healthy
Cyrille   	2	M	candy pink          	Healthy
Stafford  	2	M	red purple          	Healthy
Rebeka    	2	F	red purple          	Healthy
Bartholomeo	2	M	candy pink          	Radioactive
Lauren    	2	M	candy pink          	Healthy
Morton    	2	M	candy pink          	Healthy
Moselle   	2	F	red purple          	Healthy
Flossy    	2	F	red purple          	Healthy
Stuart    	2	M	candy pink          	Healthy
Helga     	2	F	candy pink          	Healthy
Beckie    	2	F	red purple          	Healthy
Morry     	2	M	candy pink          	Healthy
Alberta   	2	F	candy pink          	Healthy
Darby     	2	M	candy pink          	Healthy
Quintus   	2	M	candy pink          	Healthy
Karen     	2	F	candy pink          	Healthy
Renie     	2	F	candy pink          	Healthy
Ker       	2	M	red purple          	Healthy
Willetta  	2	F	red purple          	Healthy
Caddric   	2	M	candy pink          	Healthy
Adolph    	2	M	candy pink          	Healthy
Margie    	2	F	red purple          	Healthy
Ermentrude	2	F	red purple          	Radioactive
Tamas     	2	M	red purple          	Healthy
Deanne    	1	F	red purple          	Healthy
Rob       	1	M	candy pink          	Healthy
Marysa    	1	F	red purple          	Healthy
Gordon    	1	M	red purple          	Healthy
Arnoldo   	1	M	red purple          	Radioactive
Bard      	1	M	red purple          	Healthy
Itch      	1	M	candy pink          	Healthy
Gisela    	1	F	candy pink          	Healthy
Tybalt    	1	M	candy pink          	Healthy
Rodrigo   	1	M	red purple          	Healthy
Zandra    	1	F	red purple          	Healthy
Barrie    	1	M	candy pink          	Healthy
Denni     	1	F	candy pink          	Healthy
Douglas   	1	M	red purple          	Healthy
Cam       	1	F	candy pink          	Healthy
Darb      	1	F	candy pink          	Healthy
Fleurette 	1	F	red purple          	Healthy
Garv      	1	M	red purple          	Healthy
Regine    	1	F	candy pink          	Healthy
Freedman  	1	M	red purple          	Healthy
Enrico    	1	M	candy pink          	Healthy
Kristine  	1	F	candy pink          	Radioactive
Tanner    	1	M	candy pink          	Healthy
Etti      	1	F	red purple          	Healthy
Tomas     	1	M	candy pink          	Healthy
Oliver    	1	M	candy pink          	Healthy
Mommy     	1	F	candy pink          	Healthy
Blithe    	1	F	candy pink          	Healthy
Isac      	1	M	candy pink          	Healthy
Frederique	1	F	candy pink          	Healthy
Claude    	1	F	red purple          	Radioactive
Rudd      	1	M	red purple          	Healthy
Reggy     	1	M	candy pink          	Healthy
Ellyn     	1	F	candy pink          	Healthy
Wendy     	1	F	red purple          	Radioactive
Garrot    	1	M	red purple          	Radioactive
Roderick  	1	M	candy pink          	Healthy
Florella  	1	F	candy pink          	Healthy
Almire    	1	F	candy pink          	Healthy
Gram      	1	M	candy pink          	Healthy
Toni      	0	F	red purple          	Healthy
Fanchette 	0	F	candy pink          	Healthy
Otes      	0	M	red purple          	Healthy
Friedrick 	0	M	candy pink          	Healthy
Swen      	0	M	red purple          	Healthy
Modestia  	0	F	candy pink          	Healthy
TEirtza   	0	F	red purple          	Healthy
Melodie   	0	F	red purple          	Healthy
Reamonn   	0	M	red purple          	Healthy
