
Ramsey    	1	M	muted purple        	Healthy
Umberto   	6	M	brownish orange     	Radioactive
Sandro    	6	M	hot green           	Healthy
Leonore   	6	F	iris                	Healthy
Gerianne  	6	F	hot green           	Healthy
Ester     	6	F	iris                	Radioactive
Irvin     	6	M	brownish orange     	Radioactive
Sada      	6	F	canary yellow       	Healthy
Dilan     	6	M	iris                	Healthy
Corrianne 	6	F	brownish orange     	Radioactive
Bealle    	6	M	iris                	Radioactive
Efrem     	6	M	hot green           	Healthy
Jillene   	6	F	iris                	Radioactive
Thelma    	6	F	brownish orange     	Radioactive
Shadow    	5	M	iris                	Healthy
Pennie    	5	M	hot green           	Healthy
Dierdre   	5	F	iris                	Radioactive
Evered    	5	M	brownish orange     	Radioactive
Tanner    	5	M	canary yellow       	Radioactive
Joelle    	5	F	canary yellow       	Healthy
Sigrid    	5	F	hot green           	Healthy
Kori      	5	F	iris                	Radioactive
Siegfried 	5	M	brownish orange     	Radioactive
Anabella  	5	F	iris                	Radioactive
Shae      	5	M	canary yellow       	Healthy
Edgardo   	5	M	hot green           	Healthy
Myrah     	5	F	brownish orange     	Radioactive
Leonie    	5	F	iris                	Radioactive
Mufi      	5	F	brownish orange     	Radioactive
Leora     	5	F	brownish orange     	Radioactive
Tonya     	5	F	canary yellow       	Healthy
Em        	5	M	brownish orange     	Radioactive
Frants    	5	M	iris                	Radioactive
Krissie   	5	F	brownish orange     	Radioactive
Hymie     	5	M	hot green           	Healthy
Leesa     	5	F	iris                	Healthy
Giff      	5	M	hot green           	Radioactive
Oswell    	5	M	iris                	Radioactive
Curran    	5	M	brownish orange     	Radioactive
Radcliffe 	5	M	canary yellow       	Healthy
Kristian  	5	M	iris                	Radioactive
Kiel      	5	M	brownish orange     	Radioactive
Nye       	5	M	hot green           	Healthy
Hester    	5	F	brownish orange     	Radioactive
Christabella	5	F	brownish orange     	Radioactive
Jacquenetta	5	F	iris                	Radioactive
Chevy     	5	M	brownish orange     	Radioactive
Delmore   	5	M	canary yellow       	Healthy
Danella   	5	F	iris                	Radioactive
Jeno      	5	M	brownish orange     	Radioactive
Violante  	5	F	canary yellow       	Radioactive
Archie    	5	M	brownish orange     	Radioactive
Verene    	4	F	iris                	Healthy
Caz       	4	M	hot green           	Healthy
Feliks    	4	M	iris                	Radioactive
Henrie    	4	F	brownish orange     	Radioactive
Celestina 	4	F	canary yellow       	Healthy
Delmar    	4	M	canary yellow       	Healthy
Roslyn    	4	F	hot green           	Healthy
Arman     	4	M	iris                	Radioactive
Nikolaos  	4	M	brownish orange     	Radioactive
Ludvig    	4	M	iris                	Radioactive
Noby      	4	M	canary yellow       	Healthy
Angelita  	4	F	hot green           	Healthy
Jessee    	4	M	iris                	Radioactive
Danette   	4	F	iris                	Healthy
Eolande   	4	F	brownish orange     	Radioactive
Sherrie   	4	F	brownish orange     	Radioactive
Patty     	4	M	canary yellow       	Healthy
Vanessa   	4	F	brownish orange     	Radioactive
Merrie    	4	F	iris                	Healthy
Kari      	4	F	brownish orange     	Healthy
Julieta   	4	F	hot green           	Healthy
Sheff     	4	M	iris                	Healthy
Rosmunda  	4	F	hot green           	Radioactive
Natassia  	4	F	iris                	Radioactive
Damita    	4	F	brownish orange     	Healthy
Jerald    	4	M	canary yellow       	Healthy
Christi   	4	F	brownish orange     	Radioactive
Cary      	4	M	iris                	Healthy
Nancey    	4	F	hot green           	Radioactive
Pavla     	4	F	brownish orange     	Radioactive
Humfrid   	4	M	brownish orange     	Radioactive
Ruthie    	4	F	brownish orange     	Radioactive
Maureen   	4	F	canary yellow       	Healthy
Marcelle  	4	F	brownish orange     	Radioactive
Francisco 	4	M	canary yellow       	Healthy
Alanson   	4	M	brownish orange     	Radioactive
Emmy      	4	F	iris                	Healthy
Lauree    	4	F	brownish orange     	Radioactive
Chrissy   	4	F	canary yellow       	Healthy
Jeannette 	4	F	hot green           	Radioactive
Cally     	4	F	canary yellow       	Healthy
Donall    	4	M	hot green           	Healthy
Jarvis    	4	M	iris                	Radioactive
Tuck      	4	M	hot green           	Healthy
Lynsey    	4	F	iris                	Radioactive
Ly        	4	M	iris                	Radioactive
Priscella 	4	F	brownish orange     	Radioactive
Rab       	4	M	brownish orange     	Radioactive
Genna     	4	F	brownish orange     	Healthy
Cecilia   	4	F	iris                	Healthy
Bernhard  	4	M	hot green           	Radioactive
Penelope  	4	F	iris                	Healthy
Kerr      	4	M	canary yellow       	Healthy
Rasia     	4	F	brownish orange     	Radioactive
Dione     	3	F	iris                	Radioactive
Dorothee  	3	F	brownish orange     	Radioactive
Kalvin    	3	M	canary yellow       	Healthy
Merrili   	3	F	canary yellow       	Healthy
Reube     	3	M	hot green           	Healthy
Abbott    	3	M	iris                	Healthy
Marsiella 	3	F	brownish orange     	Radioactive
Car       	3	M	iris                	Radioactive
Helaine   	3	F	canary yellow       	Healthy
Shelby    	3	M	hot green           	Healthy
Othella   	3	F	iris                	Healthy
Roscoe    	3	M	brownish orange     	Radioactive
Fredrika  	3	F	brownish orange     	Radioactive
Noble     	3	M	canary yellow       	Healthy
Leonore   	3	F	brownish orange     	Radioactive
Antonie   	3	F	iris                	Healthy
Marchelle 	3	F	brownish orange     	Radioactive
Humbert   	3	M	hot green           	Healthy
Donaugh   	3	M	iris                	Radioactive
Dal       	3	M	hot green           	Radioactive
Berti     	3	F	iris                	Radioactive
Ileane    	3	F	brownish orange     	Radioactive
Viv       	3	F	canary yellow       	Healthy
Myrilla   	3	F	iris                	Radioactive
Raye      	3	F	hot green           	Healthy
Frank     	3	M	iris                	Radioactive
Caterina  	3	F	brownish orange     	Radioactive
Nikita    	3	M	canary yellow       	Healthy
Mikkel    	3	M	brownish orange     	Healthy
Laura     	3	F	canary yellow       	Healthy
Danyette  	3	F	brownish orange     	Radioactive
Allx      	3	F	brownish orange     	Radioactive
Zonda     	3	F	canary yellow       	Healthy
Shay      	3	F	hot green           	Healthy
Damon     	3	M	iris                	Radioactive
Benedick  	3	M	canary yellow       	Healthy
Flo       	3	F	hot green           	Healthy
Dimitri   	3	M	iris                	Radioactive
Tabbitha  	3	F	hot green           	Healthy
Tabb      	3	M	iris                	Healthy
Halette   	3	F	brownish orange     	Radioactive
Jackqueline	3	F	brownish orange     	Healthy
Oren      	3	M	iris                	Healthy
Ham       	3	M	hot green           	Healthy
Kevan     	3	M	iris                	Radioactive
Ruthie    	3	F	canary yellow       	Healthy
Mariya    	3	F	brownish orange     	Radioactive
Raven     	3	F	canary yellow       	Healthy
Mignonne  	3	F	hot green           	Healthy
Burgess   	3	M	iris                	Radioactive
Benedicta 	3	F	iris                	Radioactive
Ethelind  	3	F	brownish orange     	Radioactive
Olav      	3	M	canary yellow       	Healthy
Raffaello 	3	M	brownish orange     	Radioactive
Marcelline	3	F	iris                	Radioactive
Albertina 	3	F	brownish orange     	Radioactive
Skelly    	3	M	brownish orange     	Radioactive
Antone    	3	M	canary yellow       	Healthy
Gil       	2	M	canary yellow       	Healthy
Gabriel   	2	M	canary yellow       	Radioactive
Ferdie    	2	M	hot green           	Healthy
Ron       	2	M	brownish orange     	Radioactive
Skell     	2	M	iris                	Healthy
Hillel    	2	M	canary yellow       	Healthy
Archambault	2	M	hot green           	Healthy
Dar       	2	M	iris                	Healthy
Reinold   	2	M	brownish orange     	Radioactive
Forrest   	2	M	brownish orange     	Radioactive
Hortensia 	2	F	canary yellow       	Healthy
Grayce    	2	F	hot green           	Healthy
Galvin    	2	M	iris                	Healthy
Eydie     	2	F	hot green           	Radioactive
York      	2	M	brownish orange     	Radioactive
Ruthie    	2	F	canary yellow       	Radioactive
Ricky     	2	M	iris                	Radioactive
Kenon     	2	M	canary yellow       	Healthy
Alleen    	2	F	brownish orange     	Radioactive
Janean    	2	F	canary yellow       	Healthy
Beniamino 	2	M	brownish orange     	Healthy
Lazare    	2	M	iris                	Healthy
Angele    	2	F	brownish orange     	Radioactive
Monah     	2	F	canary yellow       	Healthy
Cherin    	2	F	hot green           	Healthy
Horton    	2	M	iris                	Radioactive
Brunhilde 	2	F	canary yellow       	Healthy
Juan      	2	M	hot green           	Healthy
Stanislaw 	2	M	hot green           	Healthy
Gray      	2	F	iris                	Healthy
Feliza    	2	F	brownish orange     	Radioactive
Jeromy    	2	M	brownish orange     	Radioactive
Jonathan  	2	M	brownish orange     	Radioactive
Jeffy     	2	M	iris                	Radioactive
Isidoro   	2	M	hot green           	Radioactive
Sari      	2	F	iris                	Radioactive
Muffin    	2	F	canary yellow       	Healthy
Bronson   	2	M	brownish orange     	Radioactive
Thoma     	2	M	canary yellow       	Radioactive
Reena     	2	F	hot green           	Healthy
Hymie     	2	M	iris                	Radioactive
Gale      	2	M	iris                	Radioactive
Jennette  	2	F	brownish orange     	Radioactive
Gail      	2	F	canary yellow       	Healthy
Padraic   	2	M	brownish orange     	Radioactive
Sheena    	2	F	iris                	Healthy
Humphrey  	2	M	brownish orange     	Radioactive
Bern      	2	M	iris                	Radioactive
Derick    	2	M	canary yellow       	Healthy
Clotilda  	2	F	iris                	Healthy
Cullen    	2	M	brownish orange     	Radioactive
Deni      	2	F	canary yellow       	Healthy
Donella   	2	F	hot green           	Healthy
Roxanne   	2	F	hot green           	Healthy
Burke     	2	M	iris                	Healthy
Angelina  	2	F	brownish orange     	Radioactive
Gavin     	2	M	iris                	Radioactive
Devi      	2	F	brownish orange     	Radioactive
Marcelia  	2	F	hot green           	Healthy
Benji     	2	M	hot green           	Radioactive
Aindrea   	2	F	brownish orange     	Radioactive
Thom      	2	M	brownish orange     	Radioactive
Mitchael  	2	M	canary yellow       	Healthy
Reinaldo  	2	M	brownish orange     	Radioactive
Mercedes  	2	F	canary yellow       	Healthy
Karlis    	2	M	hot green           	Radioactive
Levey     	2	M	brownish orange     	Healthy
Leon      	2	M	brownish orange     	Healthy
Alissa    	2	F	iris                	Healthy
Jolie     	1	F	canary yellow       	Healthy
Umberto   	1	M	hot green           	Radioactive
Hildegaard	1	F	iris                	Healthy
Dorian    	1	M	canary yellow       	Healthy
Celestyn  	1	F	hot green           	Radioactive
Yuri      	1	M	iris                	Healthy
Sharleen  	1	F	iris                	Healthy
Jesse     	1	F	hot green           	Healthy
Adriana   	1	F	iris                	Healthy
Spencer   	1	M	hot green           	Healthy
Kirstyn   	1	F	brownish orange     	Radioactive
Gaston    	1	M	iris                	Radioactive
Gunther   	1	M	hot green           	Healthy
Jo        	1	M	canary yellow       	Healthy
Rocky     	1	M	brownish orange     	Radioactive
Ignacius  	1	M	canary yellow       	Healthy
Terri     	1	M	brownish orange     	Healthy
Lindie    	1	F	canary yellow       	Healthy
Ajay      	1	F	hot green           	Healthy
Ron       	1	M	iris                	Healthy
Erma      	1	F	canary yellow       	Healthy
Max       	1	M	hot green           	Healthy
Elton     	1	M	hot green           	Healthy
Sandy     	1	M	iris                	Healthy
Remington 	1	M	brownish orange     	Radioactive
Collin    	1	M	brownish orange     	Radioactive
Karoly    	1	M	brownish orange     	Radioactive
Koral     	1	F	hot green           	Healthy
Belia     	1	F	canary yellow       	Healthy
Gustavus  	1	M	brownish orange     	Radioactive
Cornie    	1	M	canary yellow       	Radioactive
Tito      	1	M	hot green           	Healthy
Christin  	1	F	brownish orange     	Radioactive
Lion      	1	M	brownish orange     	Healthy
Roxine    	1	F	canary yellow       	Healthy
Raina     	1	F	iris                	Healthy
Chrystal  	1	F	hot green           	Healthy
Mickie    	1	F	hot green           	Radioactive
Aland     	1	M	iris                	Healthy
Dalton    	1	M	brownish orange     	Healthy
Lynnett   	1	F	hot green           	Healthy
Arlene    	1	F	brownish orange     	Healthy
Lilith    	1	F	canary yellow       	Healthy
Eb        	1	M	canary yellow       	Healthy
Joey      	1	F	hot green           	Healthy
Lin       	1	M	brownish orange     	Healthy
Maddalena 	1	F	iris                	Healthy
Delia     	1	F	brownish orange     	Radioactive
Mattie    	1	F	canary yellow       	Radioactive
Zebulen   	1	M	canary yellow       	Healthy
Reagan    	1	M	iris                	Healthy
Annalise  	1	F	canary yellow       	Healthy
Alanna    	1	F	hot green           	Radioactive
Colby     	1	M	canary yellow       	Healthy
Eimile    	1	F	hot green           	Healthy
Isidoro   	1	M	hot green           	Healthy
Fara      	1	F	hot green           	Healthy
Kelsy     	1	F	brownish orange     	Healthy
Raffarty  	1	M	brownish orange     	Healthy
Nicola    	1	F	canary yellow       	Healthy
Andree    	1	F	canary yellow       	Healthy
Guilbert  	1	M	hot green           	Healthy
Randie    	0	M	canary yellow       	Healthy
Caria     	0	F	canary yellow       	Healthy
Corty     	0	M	hot green           	Healthy
Ileane    	0	F	canary yellow       	Healthy
Sapphira  	0	F	iris                	Radioactive
Ernest    	0	M	iris                	Healthy
Leoine    	0	F	hot green           	Healthy
Stacie    	0	F	canary yellow       	Healthy
Berty     	0	M	brownish orange     	Radioactive
Rupert    	0	M	canary yellow       	Healthy
Colet     	0	M	brownish orange     	Healthy
Gretta    	0	F	canary yellow       	Healthy
Gwenore   	0	F	hot green           	Healthy
Aidan     	0	F	iris                	Healthy
Graeme    	0	M	hot green           	Healthy
Ronald    	0	M	hot green           	Healthy
Greta     	0	F	iris                	Healthy
Genna     	0	F	brownish orange     	Radioactive
Lisetta   	0	F	brownish orange     	Radioactive
Kellie    	0	F	brownish orange     	Radioactive
Tamma     	0	F	iris                	Healthy
Gwennie   	0	F	canary yellow       	Healthy
Annecorinne	0	F	canary yellow       	Healthy
Marie     	0	F	hot green           	Healthy
Paolo     	0	M	brownish orange     	Healthy
Myrwyn    	0	M	canary yellow       	Healthy
Alberto   	0	M	iris                	Healthy
Rozelle   	0	F	canary yellow       	Healthy
Gracia    	0	F	hot green           	Healthy
Taryn     	0	F	hot green           	Healthy
Lishe     	0	F	iris                	Radioactive
Ollie     	0	M	brownish orange     	Healthy
Eilis     	0	F	hot green           	Healthy
Grete     	0	F	hot green           	Healthy
Daffy     	0	F	canary yellow       	Healthy
Cosmo     	0	M	canary yellow       	Healthy
Minda     	0	F	hot green           	Healthy
Chaunce   	0	M	brownish orange     	Radioactive
Reinwald  	0	M	iris                	Healthy
Maris     	0	F	canary yellow       	Healthy
Billy     	0	M	iris                	Healthy
Moe       	0	M	canary yellow       	Healthy
Kirk      	0	M	canary yellow       	Healthy
Pascale   	0	M	hot green           	Healthy
Alexandra 	0	F	hot green           	Radioactive
Lorianne  	0	F	hot green           	Healthy
Kaleb     	0	M	brownish orange     	Radioactive
Tristan   	0	M	canary yellow       	Healthy
Reinaldos 	0	M	canary yellow       	Healthy
Mildrid   	0	F	hot green           	Healthy
Merill    	0	M	iris                	Healthy
Efrem     	0	M	hot green           	Healthy
Lesley    	0	M	canary yellow       	Healthy
Archaimbaud	0	M	hot green           	Healthy
Howard    	0	M	canary yellow       	Healthy
Constantia	0	F	hot green           	Healthy
Bucky     	0	M	canary yellow       	Healthy
Melinde   	0	F	hot green           	Healthy
Elvin     	0	M	hot green           	Healthy
Dolores   	0	F	canary yellow       	Healthy
Arny      	0	M	iris                	Healthy
------------------------------------------------------------------------
Prudi     	10	F	iris                	Healthy
Keeley    	10	F	brownish orange     	Radioactive
Thom      	10	M	canary yellow       	Healthy
Cirilo    	10	M	hot green           	Healthy
Thatch    	10	M	iris                	Radioactive
Merv      	10	M	hot green           	Healthy
Gian      	10	M	iris                	Healthy
Charin    	10	F	brownish orange     	Radioactive
Joyan     	10	F	canary yellow       	Healthy
Berty     	10	M	canary yellow       	Healthy
Ryan      	10	M	hot green           	Healthy
Talbot    	10	M	iris                	Radioactive
Lindsey   	10	F	brownish orange     	Radioactive
Denise    	9	F	iris                	Radioactive
Quintana  	9	F	brownish orange     	Radioactive
Pepito    	9	M	canary yellow       	Radioactive
Oralee    	9	F	hot green           	Healthy
Barbara-Anne	9	F	iris                	Radioactive
Dina      	9	F	hot green           	Radioactive
Eustacia  	9	F	iris                	Radioactive
Jilly     	9	F	brownish orange     	Radioactive
Carolee   	9	F	canary yellow       	Healthy
Haskell   	9	M	canary yellow       	Healthy
Scottie   	9	M	hot green           	Radioactive
Sydel     	9	F	iris                	Radioactive
Ninetta   	9	F	brownish orange     	Radioactive
Vivian    	9	F	iris                	Radioactive
Rowan     	9	M	canary yellow       	Healthy
Faina     	9	F	hot green           	Radioactive
Consuelo  	9	F	iris                	Radioactive
Janine    	9	F	brownish orange     	Radioactive
Lorne     	8	M	iris                	Radioactive
Willi     	8	F	brownish orange     	Radioactive
Inger     	8	M	canary yellow       	Healthy
Alexis    	8	M	hot green           	Healthy
Dwain     	8	M	iris                	Radioactive
Zebulon   	8	M	hot green           	Radioactive
Janeen    	8	F	iris                	Radioactive
Anton     	8	M	brownish orange     	Radioactive
Vassily   	8	M	canary yellow       	Healthy
Delano    	8	M	canary yellow       	Healthy
Brendon   	8	M	hot green           	Healthy
Justin    	8	M	iris                	Radioactive
Sophia    	8	F	brownish orange     	Radioactive
Earvin    	8	M	iris                	Healthy
Jinny     	8	F	canary yellow       	Healthy
Ugo       	8	M	hot green           	Radioactive
Cloe      	8	F	iris                	Radioactive
Lief      	8	M	brownish orange     	Radioactive
Judon     	8	M	iris                	Radioactive
Manon     	8	F	brownish orange     	Radioactive
Darrin    	8	M	brownish orange     	Radioactive
Erinn     	8	F	canary yellow       	Healthy
Betti     	8	F	brownish orange     	Radioactive
Lilla     	7	F	iris                	Radioactive
Timmi     	7	F	brownish orange     	Radioactive
Lilah     	7	F	canary yellow       	Radioactive
Nevsa     	7	F	hot green           	Healthy
Brunhilda 	7	F	iris                	Radioactive
Nichols   	7	M	hot green           	Radioactive
Spencer   	7	M	iris                	Radioactive
Angie     	7	M	brownish orange     	Radioactive
Alanna    	7	F	canary yellow       	Healthy
Riccardo  	7	M	canary yellow       	Healthy
Elset     	7	F	hot green           	Healthy
Elisha    	7	F	iris                	Radioactive
Yuma      	7	M	brownish orange     	Radioactive
Barri     	7	M	iris                	Radioactive
Johnathon 	7	M	canary yellow       	Healthy
Cynthie   	7	F	hot green           	Radioactive
Franciska 	7	F	iris                	Radioactive
Giacopo   	7	M	brownish orange     	Radioactive
Franni    	7	F	iris                	Radioactive
Annamaria 	7	F	brownish orange     	Radioactive
Chiquita  	7	F	brownish orange     	Radioactive
Gerri     	7	M	canary yellow       	Healthy
Elnora    	7	F	brownish orange     	Radioactive
Griffie   	7	M	iris                	Radioactive
Umberto   	7	M	brownish orange     	Radioactive
Sandro    	7	M	hot green           	Healthy
Leonore   	7	F	iris                	Healthy
Gerianne  	7	F	hot green           	Healthy
Ester     	7	F	iris                	Radioactive
Irvin     	7	M	brownish orange     	Radioactive
Sada      	7	F	canary yellow       	Healthy
Dilan     	7	M	iris                	Radioactive
Corrianne 	7	F	brownish orange     	Radioactive
Bealle    	7	M	iris                	Radioactive
Efrem     	7	M	hot green           	Healthy
Jillene   	7	F	iris                	Radioactive
Thelma    	7	F	brownish orange     	Radioactive
Shadow    	6	M	iris                	Healthy
Pennie    	6	M	hot green           	Radioactive
Dierdre   	6	F	iris                	Radioactive
Evered    	6	M	brownish orange     	Radioactive
Tanner    	6	M	canary yellow       	Radioactive
Joelle    	6	F	canary yellow       	Healthy
Sigrid    	6	F	hot green           	Healthy
Kori      	6	F	iris                	Radioactive
Siegfried 	6	M	brownish orange     	Radioactive
Anabella  	6	F	iris                	Radioactive
Shae      	6	M	canary yellow       	Healthy
Edgardo   	6	M	hot green           	Radioactive
Myrah     	6	F	brownish orange     	Radioactive
Leonie    	6	F	iris                	Radioactive
Mufi      	6	F	brownish orange     	Radioactive
Leora     	6	F	brownish orange     	Radioactive
Tonya     	6	F	canary yellow       	Healthy
Em        	6	M	brownish orange     	Radioactive
Frants    	6	M	iris                	Radioactive
Krissie   	6	F	brownish orange     	Radioactive
Hymie     	6	M	hot green           	Healthy
Leesa     	6	F	iris                	Radioactive
Giff      	6	M	hot green           	Radioactive
Oswell    	6	M	iris                	Radioactive
Curran    	6	M	brownish orange     	Radioactive
Radcliffe 	6	M	canary yellow       	Radioactive
Kristian  	6	M	iris                	Radioactive
Kiel      	6	M	brownish orange     	Radioactive
Nye       	6	M	hot green           	Radioactive
Hester    	6	F	brownish orange     	Radioactive
Christabella	6	F	brownish orange     	Radioactive
Jacquenetta	6	F	iris                	Radioactive
Chevy     	6	M	brownish orange     	Radioactive
Delmore   	6	M	canary yellow       	Healthy
Danella   	6	F	iris                	Radioactive
Jeno      	6	M	brownish orange     	Radioactive
Violante  	6	F	canary yellow       	Radioactive
Archie    	6	M	brownish orange     	Radioactive
Verene    	5	F	iris                	Healthy
Caz       	5	M	hot green           	Healthy
Feliks    	5	M	iris                	Radioactive
Henrie    	5	F	brownish orange     	Radioactive
Celestina 	5	F	canary yellow       	Healthy
Delmar    	5	M	canary yellow       	Healthy
Roslyn    	5	F	hot green           	Healthy
Arman     	5	M	iris                	Radioactive
Nikolaos  	5	M	brownish orange     	Radioactive
Ludvig    	5	M	iris                	Radioactive
Noby      	5	M	canary yellow       	Healthy
Angelita  	5	F	hot green           	Healthy
Jessee    	5	M	iris                	Radioactive
Danette   	5	F	iris                	Healthy
Eolande   	5	F	brownish orange     	Radioactive
Sherrie   	5	F	brownish orange     	Radioactive
Patty     	5	M	canary yellow       	Healthy
Vanessa   	5	F	brownish orange     	Radioactive
Merrie    	5	F	iris                	Radioactive
Kari      	5	F	brownish orange     	Radioactive
Julieta   	5	F	hot green           	Healthy
Sheff     	5	M	iris                	Healthy
Rosmunda  	5	F	hot green           	Radioactive
Natassia  	5	F	iris                	Radioactive
Damita    	5	F	brownish orange     	Radioactive
Jerald    	5	M	canary yellow       	Healthy
Christi   	5	F	brownish orange     	Radioactive
Cary      	5	M	iris                	Radioactive
Nancey    	5	F	hot green           	Radioactive
Pavla     	5	F	brownish orange     	Radioactive
Humfrid   	5	M	brownish orange     	Radioactive
Ruthie    	5	F	brownish orange     	Radioactive
Maureen   	5	F	canary yellow       	Healthy
Marcelle  	5	F	brownish orange     	Radioactive
Francisco 	5	M	canary yellow       	Radioactive
Alanson   	5	M	brownish orange     	Radioactive
Emmy      	5	F	iris                	Radioactive
Lauree    	5	F	brownish orange     	Radioactive
Chrissy   	5	F	canary yellow       	Healthy
Jeannette 	5	F	hot green           	Radioactive
Cally     	5	F	canary yellow       	Healthy
Donall    	5	M	hot green           	Radioactive
Jarvis    	5	M	iris                	Radioactive
Tuck      	5	M	hot green           	Healthy
Lynsey    	5	F	iris                	Radioactive
Ly        	5	M	iris                	Radioactive
Priscella 	5	F	brownish orange     	Radioactive
Rab       	5	M	brownish orange     	Radioactive
Genna     	5	F	brownish orange     	Radioactive
Cecilia   	5	F	iris                	Radioactive
Bernhard  	5	M	hot green           	Radioactive
Penelope  	5	F	iris                	Radioactive
Kerr      	5	M	canary yellow       	Healthy
Rasia     	5	F	brownish orange     	Radioactive
Dione     	4	F	iris                	Radioactive
Dorothee  	4	F	brownish orange     	Radioactive
Kalvin    	4	M	canary yellow       	Healthy
Merrili   	4	F	canary yellow       	Healthy
Reube     	4	M	hot green           	Radioactive
Abbott    	4	M	iris                	Healthy
Marsiella 	4	F	brownish orange     	Radioactive
Car       	4	M	iris                	Radioactive
Helaine   	4	F	canary yellow       	Healthy
Shelby    	4	M	hot green           	Healthy
Othella   	4	F	iris                	Healthy
Roscoe    	4	M	brownish orange     	Radioactive
Fredrika  	4	F	brownish orange     	Radioactive
Noble     	4	M	canary yellow       	Healthy
Leonore   	4	F	brownish orange     	Radioactive
Antonie   	4	F	iris                	Healthy
Marchelle 	4	F	brownish orange     	Radioactive
Humbert   	4	M	hot green           	Healthy
Donaugh   	4	M	iris                	Radioactive
Dal       	4	M	hot green           	Radioactive
Berti     	4	F	iris                	Radioactive
Ileane    	4	F	brownish orange     	Radioactive
Viv       	4	F	canary yellow       	Healthy
Myrilla   	4	F	iris                	Radioactive
Raye      	4	F	hot green           	Radioactive
Frank     	4	M	iris                	Radioactive
Caterina  	4	F	brownish orange     	Radioactive
Nikita    	4	M	canary yellow       	Healthy
Mikkel    	4	M	brownish orange     	Radioactive
Laura     	4	F	canary yellow       	Radioactive
Danyette  	4	F	brownish orange     	Radioactive
Allx      	4	F	brownish orange     	Radioactive
Zonda     	4	F	canary yellow       	Healthy
Shay      	4	F	hot green           	Healthy
Damon     	4	M	iris                	Radioactive
Benedick  	4	M	canary yellow       	Healthy
Flo       	4	F	hot green           	Healthy
Dimitri   	4	M	iris                	Radioactive
Tabbitha  	4	F	hot green           	Healthy
Tabb      	4	M	iris                	Radioactive
Halette   	4	F	brownish orange     	Radioactive
Jackqueline	4	F	brownish orange     	Healthy
Oren      	4	M	iris                	Radioactive
Ham       	4	M	hot green           	Healthy
Kevan     	4	M	iris                	Radioactive
Ruthie    	4	F	canary yellow       	Healthy
Mariya    	4	F	brownish orange     	Radioactive
Raven     	4	F	canary yellow       	Radioactive
Mignonne  	4	F	hot green           	Healthy
Burgess   	4	M	iris                	Radioactive
Benedicta 	4	F	iris                	Radioactive
Ethelind  	4	F	brownish orange     	Radioactive
Olav      	4	M	canary yellow       	Radioactive
Raffaello 	4	M	brownish orange     	Radioactive
Marcelline	4	F	iris                	Radioactive
Albertina 	4	F	brownish orange     	Radioactive
Skelly    	4	M	brownish orange     	Radioactive
Antone    	4	M	canary yellow       	Healthy
Gil       	3	M	canary yellow       	Healthy
Gabriel   	3	M	canary yellow       	Radioactive
Ferdie    	3	M	hot green           	Healthy
Ron       	3	M	brownish orange     	Radioactive
Skell     	3	M	iris                	Healthy
Hillel    	3	M	canary yellow       	Healthy
Archambault	3	M	hot green           	Radioactive
Dar       	3	M	iris                	Radioactive
Reinold   	3	M	brownish orange     	Radioactive
Forrest   	3	M	brownish orange     	Radioactive
Hortensia 	3	F	canary yellow       	Healthy
Grayce    	3	F	hot green           	Healthy
Galvin    	3	M	iris                	Radioactive
Eydie     	3	F	hot green           	Radioactive
York      	3	M	brownish orange     	Radioactive
Ruthie    	3	F	canary yellow       	Radioactive
Ricky     	3	M	iris                	Radioactive
Kenon     	3	M	canary yellow       	Healthy
Alleen    	3	F	brownish orange     	Radioactive
Janean    	3	F	canary yellow       	Healthy
Beniamino 	3	M	brownish orange     	Radioactive
Lazare    	3	M	iris                	Radioactive
Angele    	3	F	brownish orange     	Radioactive
Monah     	3	F	canary yellow       	Healthy
Cherin    	3	F	hot green           	Healthy
Horton    	3	M	iris                	Radioactive
Brunhilde 	3	F	canary yellow       	Healthy
Juan      	3	M	hot green           	Radioactive
Stanislaw 	3	M	hot green           	Radioactive
Gray      	3	F	iris                	Healthy
Feliza    	3	F	brownish orange     	Radioactive
Jeromy    	3	M	brownish orange     	Radioactive
Jonathan  	3	M	brownish orange     	Radioactive
Jeffy     	3	M	iris                	Radioactive
Isidoro   	3	M	hot green           	Radioactive
Sari      	3	F	iris                	Radioactive
Muffin    	3	F	canary yellow       	Healthy
Bronson   	3	M	brownish orange     	Radioactive
Thoma     	3	M	canary yellow       	Radioactive
Reena     	3	F	hot green           	Healthy
Hymie     	3	M	iris                	Radioactive
Gale      	3	M	iris                	Radioactive
Jennette  	3	F	brownish orange     	Radioactive
Gail      	3	F	canary yellow       	Radioactive
Padraic   	3	M	brownish orange     	Radioactive
Sheena    	3	F	iris                	Radioactive
Humphrey  	3	M	brownish orange     	Radioactive
Bern      	3	M	iris                	Radioactive
Derick    	3	M	canary yellow       	Healthy
Clotilda  	3	F	iris                	Healthy
Cullen    	3	M	brownish orange     	Radioactive
Deni      	3	F	canary yellow       	Radioactive
Donella   	3	F	hot green           	Healthy
Roxanne   	3	F	hot green           	Radioactive
Burke     	3	M	iris                	Healthy
Angelina  	3	F	brownish orange     	Radioactive
Gavin     	3	M	iris                	Radioactive
Devi      	3	F	brownish orange     	Radioactive
Marcelia  	3	F	hot green           	Healthy
Benji     	3	M	hot green           	Radioactive
Aindrea   	3	F	brownish orange     	Radioactive
